"Article","Information Search","Price Decisions","Crowding-out/-in","Overjustification","(Re)Purchase intention/ behavior/ booking/ revenue/ visit/sales","Time_to_receive/write_feedback/reaction time","(Perceived) Helpfulness/Usefulness (helpful votes, likes,…)","Length and Information volumn ","Coherence","Details","Insert Pictures","Objectivity","Topic Diversity and relevance","Diagnostivity/diagnosticity","Lexical complexity/richness/ density","Readibility","Valence, emotional tone","Quantity (Number of reviews, eWOM continuity)","Post fakes","Quantity (Unincentivized reviews)","Lexical complexity/richness/ density (Unincentivized reviews)","Valence (Unincentivized reviews)","Images (Unincentivized reviews)","Length (Unincentivized reviews)","Usefulness votes (Unincentivized reviews)"
"Ethics in social media marketing: How should sponsorship information be disclosed in online product reviews?","NA","NA","NA","NA","-/o","NA","-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Evaluating the Impact of Incentive/Non-incentive Reviews on Customer Decision-making","NA","NA","NA","NA","-/o","NA","-","+/-","NA","NA","NA","NA","NA","NA","NA","NA","+","+","NA","NA","NA","NA","NA","NA","NA"
"Exploring the effect of e-WOM participation on e-Loyalty in e-commerce","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"For Money, and for Fun: Exploring the Effects of Gamification and Financial Incentives on Motivating Online Review Generation","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","-","+","NA","NA","NA","NA","NA","NA","NA"
"Hotel attribute performance, eWOM motivations, and media choice","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-/o","NA","NA","NA","NA","NA","NA","NA"
"How Do Monetary Incentives Affect Online Product Reviews and Sales?","NA","NA","NA","NA","+","NA","+/-","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","+","NA","NA","NA","NA","NA","NA","NA"
"How Does a Review Officer and Her Incentivized Contribution Affect the Review System?","NA","NA","NA","NA","NA","NA","o","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","-","NA","NA","NA","-","-"
"Impact of Gamification on Perceptions of Word-of-Mouth Contributors and Actions of Word-of-Mouth Consumers","NA","NA","NA","NA","+/-","NA","+/o","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Implications of Rewards and Punishments for Content Generations by Key Opinion Leaders","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","o","NA","NA","NA","NA","NA","NA","NA"
"Incentive hierarchies intensify competition for attention: A study of online reviews","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","+","NA","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA","NA"
"Incentive strategies of an e-tailer considering online reviews: Rebates or services","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Incentivised dishonesty: Moral frameworks underlying fake online reviews","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+/o","NA","NA","NA","NA","NA","NA"
"Innocent until proven guilty: suspicion of deception in online reviews","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"Investigating the effect of status changes in review platforms","NA","NA","NA","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA","o","+/-","+/-","NA","NA","NA","NA","NA","NA","NA"
"It’s not fake, it’s biased: insights into morality of incentivized reviewers","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","+","NA","NA","NA","NA","NA","NA","NA"
"May we buy your love? psychological effects of incentives on writing likelihood and valence of online product reviews","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+/-","+","NA","NA","NA","NA","NA","NA","NA"
"Money Makes the Reviewer Go Round Ambivalent Effects of Online Review Elicitation in B2B Markets","NA","NA","NA","NA","NA","NA","NA","-/o","NA","NA","NA","NA","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA","NA"
"Money matters? Effect of reward types on customers' review behaviors","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","+","NA","NA","NA","NA","NA","NA","NA"
"Motivating User-Generated Content: The Unintended Consequences of Incentive Thresholds","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","+","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA"
"Online consumer review intentions: A comparative study of chinese and american","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","o","NA","NA","NA","NA","NA","NA","NA"
"Online Incentive Hierarchies, Review Extremity, and Review Quality: Empirical Evidence from the Hotel Sector","NA","NA","NA","NA","NA","NA","-","NA","NA","NA","NA","NA","NA","NA","NA","NA","-","NA","NA","NA","NA","NA","NA","NA","NA"
"Posting reviews on OTAs: Motives, rewards and effort","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RIGHT OR WRONG? CONSUMERS’ AWARENESS, ETHICAL ACCEPTANCE, AND LEGAL JUSTIFIABILITY OF INCENTIVE-DRIVEN REVIEWS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA"
"Role of Platform Incentives in Shaping Local Guides’ Online Review Behaviour","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"Stars, Votes, and Badges: How Online Badges Affect Hotel Reviewers","NA","NA","NA","NA","NA","NA","-","NA","NA","NA","NA","NA","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA","NA"
"The motivation paradox: Understanding contradictory effects of awards on contribution quantity versus quality in virtual community","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA"
"The Role of Power and Incentives in Inducing Fake Reviews in the Tourism Industry","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+/o","NA","NA","NA","NA","NA","NA"
"Trojan horses in amazon's castle: Understanding the incentivized online reviews","NA","NA","NA","NA","NA","NA","o","+","NA","NA","+","-","NA","NA","NA","+","+","NA","NA","NA","NA","NA","NA","NA","NA"
"Understanding the adoption of incentivized word-of-mouth in the online environment","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Understanding Underground Incentivized Review Services","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA"
"What are social incentives worth? A randomized field experiment in user content generation","NA","NA","NA","NA","NA","NA","+/o","+/o","NA","NA","NA","NA","NA","+/o","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"What makes deceptive online reviews? A linguistic analysis perspective","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","-","-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"What motivates consumers to partake in cyber shilling?","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA"
"You can't buy my rating! On the pivotal effect of an unconditional gift on rating behavior","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","o","-","NA","NA","NA","NA","NA","NA","NA"
"Motivation of online additional review based on grounded theory","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Recognise me or pay me? How rewards for online restaurant reviews impact continuity: A cross-country investigation","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Smart users: Effort management in earning rewards","NA","NA","NA","NA","NA","NA","-","-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"The role of badges to spur frequent travelers to write online reviews","NA","NA","NA","NA","NA","-","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"Privacy in the sharing economy: Why don't users disclose their negative experiences?","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"WHat motivates posting online travel reviews? integrating gratifications with technological acceptance factors","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-","NA","NA","NA","NA","NA","NA","NA"
"The paradox of (dis)trust in sponsorship disclosure: The characteristics and effects of sponsored online consumer reviews","NA","NA","NA","NA","-","NA","-","+","NA","NA","NA","+","NA","NA","NA","-","+/-","NA","NA","NA","NA","NA","NA","NA","NA"
"The Impact of Online Reviews Manipulation on Consumer Purchase Decision Based on The Perspective of Consumers’ Perception","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Not just for the recommender: How eWOM incentives influence the recommendation audience","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"The importance of being earnest: Mandatory vs. voluntary disclosure of incentives for online product reviews","NA","NA","NA","NA","+/-","NA","+","NA","NA","NA","NA","-","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA","NA"
"WHEN PAYING FOR REVIEWS PAYS OFF: THE CASE OF PERFORMANCE-CONTINGENT MONETARY REWARDS","NA","NA","NA","NA","NA","NA","+","+","NA","NA","NA","NA","NA","NA","NA","NA","o","+","NA","NA","NA","NA","NA","NA","NA"
"What drives consumers to post more photos in online reviews? A trait activation theory perspective","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"The Effectiveness of Non-Persistent Social Status as an Incentive Mechanism","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","-","+","+","o","NA","NA","NA","NA","NA","NA","NA"
"Monetary Incentives, Online Reviews, and Product Sales: An Empirical Investigation","NA","NA","NA","NA","+","NA","o","NA","NA","NA","NA","NA","NA","NA","NA","NA","o","+","NA","NA","NA","NA","NA","NA","NA"
"From a Penny to Self-Disgust: How Cashback Rewards for Favorable Comments and Relationship Norms Affect Consumers’ Post-Purchase Behavioral Intentions","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unveiling the impacts of performance-contingent incentivized reviews on subsequent supplementary reviews","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA"
"Intention to write reviews: influence of personality traits, attitude and motivational factors","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","o","NA","NA","NA","NA","NA","NA","NA"
"Why did I buy this? The effect of WOM and online reviews on post purchase attribution for product outcomes","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ONLINE FREE PRODUCT SAMPLING: THE RECIPROCITY AND DIAGNOSTICITY EFFECTS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"Text Performance on the Vine Stage? The Effect of Incentive on Product Review Text Quality","NA","NA","NA","NA","NA","NA","NA","NA","+","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Detecting incentivized review groups with co-review graph","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"The Effects of One-Sided vs. Two-Sided Review Valence on Electronic Word of Mouth (e-WOM): The Moderating Role of Sponsorship Presence","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Can we trace back hotel online reviews’ characteristics using gamification features?","NA","NA","NA","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA","NA"
"Incentive Provision and Pro-Social Behaviors","NA","NA","+","+","NA","NA","-","NA","NA","NA","NA","NA","+","NA","-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Incentivized methods to generate electronic word-of-mouth: Implications for the resort industry","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"The Effects of Money on Fake Rating Behavior in E-Commerce: Electrophysiological Time Course Evidence From Consumers","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","+","NA","NA","NA","NA","NA","NA"
"Motivation crowding in online product reviewing: A qualitative study of amazon reviewers","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Motives for posting fake reviews: Evidence from a cross-cultural comparison","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA"
"The Market for Reviews: Strategic Behavior of Online Product Reviewers with Monetary Incentives","NA","NA","o","NA","NA","NA","-","-/o","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Stimulating positive reviews by combining financial and compassionate incentives","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Positive and negative eWOM motivations and hotel customers’ eWOM behavior: Does personality matter?","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Characterizing the dynamics and evolution of incentivized online reviews on Amazon","NA","NA","NA","NA","NA","NA","-","+","NA","NA","+","-","NA","NA","NA","-","+","NA","NA","NA","NA","NA","NA","NA","NA"
"Rebate incentive strategy for online reviews","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"Online reviews generated through product testing: can more favorable reviews be enticed with free products?","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-/o","+/o","NA","NA","NA","NA","NA","NA","NA","NA"
"Incentives Increase Relative Positivity of Review Content and Enjoyment of Review Writing","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"Reputation, Trust, and Rebates: How Online Auction Markets Can Improve Their Feedback Mechanisms","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Money Talks: Rebate Mechanisms in Reputation System Design","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Unfolding the characteristics of incentivized online reviews","NA","NA","NA","NA","NA","NA","-","+","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"An Economic Analysis of Rebates Conditional on Positive Reviews","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","+","+/o","NA","NA","NA","NA","NA","NA"
"Buying reputation as a signal of quality: Evidence from an online marketplace","NA","NA","NA","NA","+","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Stimulating Online Reviews by Combining Financial Incentives and Social Norms","NA","NA","NA","NA","NA","NA","NA","+/o","NA","NA","NA","NA","NA","NA","NA","NA","+","+","NA","NA","NA","NA","NA","NA","NA"
"Feeling warm or skeptical? An investigation into the effects of incentivized eWOM programs on customers’ eWOM sharing intentions","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA"
"The impact of mandatory disclosure on rewarding online reviews based on S-O-R theory","NA","NA","NA","NA","+","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EMPIRICAL STUDY OF THE MOTIVATIONS OF E-WOM SPREADING ON ONLINE FEEDBACK SYSTEM IN CHINA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","o","NA","NA","NA","NA","NA","NA","NA"
"Social free sampling: engaging consumer through product trial reports","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unpacking the experience of individuals engaging in incentivized false (and genuine) positive reviews: The impact on brand satisfaction","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Is Product Sampling Good for Brands’ Online Word of Mouth?","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","+/-","NA","+","NA"
"Differential Effects of Monetary and Social Rewards on Product Online Rating Decisions in E-Commerce in China","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"Encouraging altruistic user-generated content in gamified review platforms","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Incentivized fake reviews: When cognitive reappraisal paves the way for an immoral journey","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA"
"Determinants of multimodal fake review generation in China’s E-commerce platforms","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA"
"The Effects of Featuring Product Sampling Reviews on E-Tailer Websites","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-","NA","NA","NA","NA","NA"
"Mixed Messages: An Examination of Reviewer Badges and Consumer Trust with Online Review Platforms","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Understanding the Intention of Information Contribution to Online Feedback Systems from Social Exchange and Motivation Crowding Perspectives","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","o","NA","NA","NA","NA","NA","NA","NA"
"When are the buyers willing to post comments on an online feedback system? The moderating effects of online interactivity between buyers and sellers","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"The role of individualism, collectivism, and promotional reward type on consumer response to amplified word-of-mouth strategies","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA"
"The Anchoring Effect of “Quality Threshold for Monetary Incentive” on Online Review Platforms","NA","NA","NA","NA","NA","NA","NA","-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Biases in online reviews: the default positive review rule and the conditional rebate strategy","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"What influences wellness customers to engage in electronic word of mouth? A total interpretive structural modelling approach","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Status Downgrade: The Impact of Losing Status on a User-Generated Content Platform","NA","NA","NA","NA","NA","NA","o","-","NA","NA","NA","NA","NA","NA","-","+","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Can the Conditional Rebate Strategy Work? Signaling Quality via Induced Online Reviews","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","+/o","NA","NA","NA","NA","NA","NA","NA"
"What Motivates Consumers to Write Online Reviews? Qualitative Research in the Indian Cultural Context","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Effect of sponsorship disclosure on online consumer responses to positive reviews: The moderating role of emotional intensity and tie strength","NA","NA","NA","NA","-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Driving Factors of Online Reviews and eWOM in International Hotel Industry","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-","NA","NA","NA","NA","NA","NA","NA"
"Modeling the dynamics of online review life cycle: Role of social and economic moderations","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"The impact of monetary rewards for online reviews","NA","+","NA","NA","-","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Empowering Consumer Decision-Making: Decoding Incentive vs. Organic Reviews for Smarter Choices Through Advanced Textual Analysis","NA","NA","NA","NA","NA","NA","NA","-","NA","-","NA","NA","NA","NA","NA","NA","+","+","NA","NA","NA","NA","NA","NA","NA"
