Outcome category;Outcome construct;Operational Definition
Behavioral Outcome;Review quantity;(Likelihood of) Review contribution, including review posting intention, actual review posting, review volume, contribution/ use behavior, willingness to share WOM, or number of reviews.
Behavioral Outcome;Review valence/ review text sentiment/ emotional tone;Positivity, negativity, star rating, sentiment, emotional tone, or affective polarity of the review content.
Behavioral Outcome;Review quality;Overall review quality (length, readability, objectivity, …). This code is used when quality is measured broadly or through one or more quality features (see list below).
Behavioral Outcome;Product sales;Product or service demand outcomes, including purchase decisions, sales volume, number of bidders, bookings, or consumer choice.
Behavioral Outcome;Unethical/ illegal behavior (Posting fake reviews);Manipulative, deceptive, unethical, or illegal review behavior, especially posting fake reviews or engaging in review fraud.
Behavioral Outcome;Spill-over effect;"Effects of incentivization that extend beyond the directly incentivized review/ reviewer, including effects on ""organic"" reviews/reviewers."
Behavioral Outcome;Review Timing or Speed of feedback;Timing, delay, or speed of review submission or feedback after purchase/use.
Behavioral Outcome;Price;Effects on product/service price, price decisions, willingness to pay....
Behavioral Outcome;Information search;Consumer search behavior, search effort, or use of additional information before decision-making.
Review Quality Feature;Review Length and Information Volume;Amount of review content, including number of words, characters, sentences, information units, or volume of information.
Review Quality Feature;Helpfulness;Perceived or voted usefulness/helpfulness of a review.
Review Quality Feature;Readability;Ease with which the review can be read and understood, including linguistic clarity or readability scores.
Review Quality Feature;Details and Coherence;Degree to which the review contains specific details, explanations, logically connected arguments, or coherent information.
Review Quality Feature;Pictures;Inclusion, presence, number, or effect of visual content such as photos or images in reviews.
Review Quality Feature;Objectivity;Degree to which the review is balanced, factual, evidence-based, or not overly subjective/emotional.
Review Quality Feature;Subjectivity;Degree to which the review expresses personal opinions, emotions, subjective evaluations, or personal experiences.
Review Quality Feature;Topic Diversity and Relevance;Breadth, variety, and relevance of topics, attributes, or aspects covered in the review.
Review Quality Feature;Lexical complexity, richness, and density;Linguistic sophistication of the review, including vocabulary diversity, lexical richness, complexity, or information density.
Review Quality Feature;Diagnosticity;The perceived ability of a review to provide relevant, informative, and decision-useful information that helps consumers evaluate a product or reduce uncertainty.
